Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Gene,Pathogen,Tick.hosts,Hosts.studied,Ecotype.AP,Sequencing,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AH,Same.reference,Multiple.species,Notes,Birds
0092,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Eurasian tree sparrow,Passer montanus,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,2,NA,NA,NA,1,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0093,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,13,NA,NA,NA,6,0,0.00,7,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0094,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,2,NA,NA,NA,0,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0095,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,7,NA,NA,NA,6,0,0.00,13,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0096,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Willow tit,Poecile montanus,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,1,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0097,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Dunnock,Prunella modularis,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,13,NA,No,No,7,0,0.00,45,2,0.04,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0098,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,4,NA,NA,NA,4,0,0.00,4,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0099,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Garden warbler,Sylvia borin,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,2,NA,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0100,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Whitethroat,Sylvia communis,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,8,NA,NA,NA,3,0,0.00,13,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0101,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,5,NA,NA,NA,0,NA,NA,6,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0102,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,11,NA,NA,NA,15,0,0.00,4,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0103,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Redwing thrush,Turdus iliacus,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,33,NA,No,No,22,3,0.14,52,3,0.06,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0104,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Common blackbird,Turdus merula,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,173,NA,No,No,36,1,0.03,240,20,0.08,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0105,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Song thrush,Turdus philomelos,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,53,NA,No,No,12,0,0.00,45,2,0.04,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0106,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012 to 2014,Mistle thrush,Turdus viscivorus,Bird,Scientific capturing,qPCR,msp2,A. phagocytophilum,1,NA,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds
0107,"Hildebrandt et al., 2010","Greifswalder Oie, Mecklenburg-Western Pomerania",Germany,No,NA,Spring 2007,"European robin, Redwing thrush, Common blackbird, Song thrush, Great tit, winter wren, common whitethroat, Marsh warbler, Thrush nightingale, common redstart and Common chaffinch",NA,Bird,Scientific capturing,PCR,16S rRNA,A. phagocytophilum,99,NA,No,Yes,56,0,0.00,134,5,0.04,1,0,0.00,4,No,NA,T,"Hildebrandt et al., (2010)",Yes,,Migratory birds
0108,"Hofmeester et al., 2018",The Netherlands and Flanders (Belgium),The Netherlands and Belgium,Yes,From forest to agricultural fields and urbanized areas,1995 - 2015,Beech marten,Martes foina,Mammal,Found dead,qPCR,msp2,A. phagocytophilum,22,68,No,Yes,1,0,0.00,3,0,0.00,44,2,0.05,2,No,NA,AH,"Hofmeester et al., (2018)",No,,No birds
0109,"Hofmeester et al., 2018",The Netherlands,The Netherlands,No,From forest to agricultural fields and urbanized areas,1995 - 2015,European pine marten,Martes martes,Mammal,Found dead,qPCR,msp2,A. phagocytophilum,33,51,No,Yes,15,0,0.00,27,3,0.11,57,24,0.42,15,No,NA,AH,"Hofmeester et al., (2018)",No,,No birds
0110,"Hofmeester et al., 2018",The Netherlands and Flanders (Belgium),The Netherlands and Belgium,Yes,From forest to agricultural fields and urbanized areas,1995 - 2015,European badger,Meles meles,Mammal,Found dead,qPCR,msp2,A. phagocytophilum,5,114,NA,NA,0,NA,NA,1,0,0.00,11,0,0.00,0,No,NA,AH,"Hofmeester et al., (2018)",No,,No birds
0111,"Hofmeester et al., 2018",The Netherlands and Flanders (Belgium),The Netherlands and Belgium,Yes,From forest to agricultural fields and urbanized areas,1995 - 2015,European polecat,Mustela putorius,Mammal,Found dead,qPCR,msp2,A. phagocytophilum,43,556,1,Yes,1,0,0.00,9,1,0.11,46,7,0.15,7,No,NA,AH,"Hofmeester et al., (2018)",No,,No birds
0112,"Hornok et al., 2014",Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September","Dunnock, Hawfinch, Common chiffchaff, Eurasian blackcap, Whitethroat, Sedge warbler, Eurasian reed warbler, Common blackbird, Redwing thrush, Song thrush, European robin, Tree pipit, Thrush nightingale and Common nightingale",NA,Bird,Scientific capturing,TaqMan PCR,msp2,A. phagocytophilum,63,841,No,Yes,42,0,0.00,78,1,0.01,1,0,0.00,NA,No,NA,T+AH,"Hornok et al., (2014)",Yes,,Migratory birds
0113,"Jahfari et al., 2014",The Netherlands and Belgium,The Netherlands and Belgium,Yes,NA,NA,Long-tailed field mouse,Apodemus sylvaticus,Mammal,NA,real-time qPCR,msp2,A. phagocytophilum,26,NA,3,Yes,109,1,0.01,0,NA,NA,0,NA,NA,1,Yes,"Larval infect.prev. 95% CI: 0-0,5%",No,NA,No,,No birds
0114,"Jahfari et al., 2014",The Netherlands and Belgium,The Netherlands and Belgium,Yes,NA,NA,European mouflon,Ovis orientalis musimon,Mammal,NA,real-time qPCR,msp2,A. phagocytophilum,18,NA,1,Yes,0,NA,NA,0,NA,NA,233,120,0.52,18,Yes,Adult infect.prev. 95% CI: 45-58%,No,NA,No,,No birds
0115,"Jahfari et al., 2014",The Netherlands and Belgium,The Netherlands and Belgium,Yes,NA,NA,Wild boar,Sus scrofa,Mammal,NA,real-time qPCR,msp2,A. phagocytophilum,8,NA,1,Yes,0,NA,NA,48,5,0.10,0,NA,NA,4,Yes,"Nymphal infect.prev. 95% CI: 3,5-23%",No,NA,No,,No birds
0116,"Jahfari et al., 2017",Herenthout and Heusen-Zolder in the Campine region,Belgium,No,Gardens and urban areas,2014 and 2015 between end of April and end of October,Western European hedgehog,Erinaceus europaeus,Mammal,Civilian capture,real-time PCR,groEL,A. phagocytophilum,54,54,1,Yes,7,3,0.43,28,23,0.82,37,22,0.59,NA,No,NA,T,"Jahfari et al., (2017)",No,,No birds
0117,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,European roe deer,Capreolus capreolus,Mammal,Hunting,real-time PCR,msp2,A. phagocytophilum,3,14,1 and 2,Yes,NA,NA,NA,NA,NA,NA,4,3,0.75,NA,No,NA,AH,"Kazimirova et al., (2018)",No,"Same animals studies as in row 118, but different number of animals were infested. Additional information obtained from author.",No birds
0118,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,European roe deer,Capreolus capreolus,Mammal,Hunting,real-time PCR,msp2,A. phagocytophilum,9,14,1 and 2,Yes,NA,NA,NA,59,30,0.51,NA,NA,NA,NA,No,NA,AH,"Kazimirova et al., (2018)",No,"Same animals studies as in row 117, but different number of animals were infested. Additional information obtained from author.",No birds
0120,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,Red deer,Cervus elaphus,Mammal,Hunting,real-time PCR,msp2,A. phagocytophilum,NA,8,1 and 2,Yes,NA,NA,NA,15,12,0.80,10,9,0.90,NA,No,NA,AH,"Kazimirova et al., (2018)",No,"5 animals were infested, but not clear how many with I. ricinus and not clear from how many ticks were tested. Larvae tested in pools.",No birds
0121,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,Fallow deer,Dama dama,Mammal,Hunting,real-time PCR,msp2,A. phagocytophilum,NA,22,1 and 2,Yes,NA,NA,NA,101,62,0.61,74,67,0.91,NA,No,NA,AH,"Kazimirova et al., (2018)",No,"17 animals were infested, but not clear how many with I. ricinus and not clear from how many ticks were tested. Larvae tested in pools.",No birds
0122,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia,No,"Dominated by Sessile oak (Quercus petraea) and European hornbeam (Carpinus betulus) at lower altitudes, European beech (Fagus sylvatica) at higher altitudes",Hunting seasons of 2011-2014,European mouflon,Ovis orientalis musimon,Mammal,Hunting,real-time PCR,msp2,A. phagocytophilum,NA,9,1 and 2,Yes,NA,NA,NA,1,1,1.00,5,5,1.00,NA,No,NA,AH,"Kazimirova et al., (2018)",No,"5 animals were infested, but not clear how many with I. ricinus and not clear from how many ticks were tested. Larvae tested in pools.",No birds
0123,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian skylark,Alauda arvensis,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,66,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0124,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Tree pipit,Anthus trivialis,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,120,673,NA,NA,243,0,0.00,85,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0125,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Eurasian treecreeper,Certhia familiaris,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,2,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
0126,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,1,NA,NA,3,0,0.00,6,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
0127,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,2,20,NA,NA,0,NA,NA,2,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0128,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",European robin,Erithacus rubecula,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,6,13,NA,NA,21,0,0.00,6,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
0129,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",European robin,Erithacus rubecula,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,221,1216,No,Yes,335,0,0.00,122,2,0.02,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0130,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,3,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
0131,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,37,533,No,Yes,42,0,0.00,25,1,0.04,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0132,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Brambling,Fringilla montifringilla,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,7,121,NA,NA,2,0,0.00,5,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0133,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Woodlark,Lullula arborea,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,33,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0134,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Spotted nutcracker,Nucifraga caryocatactes,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,48,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0135,"Lommano et al., 2014","Col de Jaman (VD) (46◦26.95'N,6◦58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Northern wheatear,Oenanthe oenanthe,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,1,20,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Migratory birds
0136,"Lommano et al., 2014","Bois de l'Hopital (Canton of Neuchâtel, 47◦01.00'N, 6◦56.00'E) and Agiez (Canton of Vaud, 46◦43.23'N,6◦29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Great tit,Parus major,Bird,Scientific capturing,real-time PCR,Msp2,A. phagocytophilum,4,5,NA,NA,1,0,0.00,4,0,0.00,0,NA,NA,NA,No,NA,T,"Lommano et al., (2014)",No,,Resident birds
